REPORTER_CD,year,class
417,2017,H5
418,2010,H3
418,2011,H3
418,2012,H4
418,2013,H4
418,2014,H4
418,2015,H4
418,2016,H4
422,2001,H1
422,2002,H2
422,2003,H2
422,2004,H2
422,2005,H2
422,2006,H2
422,2007,H3
422,2008,H3
422,2009,H3
422,2010,H3
422,2011,H3
422,2012,H4
422,2013,H4
422,2014,H4
422,2016,H4
426,2001,H0
426,2002,H0
426,2003,H0
426,2004,H0
426,2008,H1
426,2009,H1
426,2010,H1
426,2011,H2
426,2012,H2
428,2001,H1
428,2002,H2
428,2003,H2
428,2004,H2
428,2005,H2
428,2006,H2
428,2007,H3
428,2008,H3
428,2009,H3
428,2010,H3
428,2011,H3
428,2012,H4
428,2013,H4
428,2014,H4
428,2015,H4
428,2016,H4
428,2017,H5
434,2003,S3
434,2004,S3
434,2007,H2
434,2008,H2
434,2009,H2
434,2010,H2
440,2001,H1
440,2002,H2
440,2003,H2
440,2004,H2
440,2005,H2
440,2006,H2
440,2007,H3
440,2008,H3
440,2009,H3
440,2010,H3
440,2011,H3
440,2012,H4
440,2013,H4
440,2014,H4
440,2015,H4
440,2016,H4
440,2017,H5
442,2001,H1
442,2002,H2
442,2003,H2
442,2004,H2
442,2005,H2
442,2006,H2
442,2007,H3
442,2008,H3
442,2009,H3
442,2010,H3
442,2011,H3
442,2012,H4
442,2013,H4
442,2014,H4
442,2015,H4
442,2016,H4
442,2017,H5
446,2001,H1
446,2002,H2
446,2003,H2
446,2004,H2
446,2005,H2
446,2006,H2
446,2007,H3
446,2008,H3
446,2009,H3
446,2010,H3
446,2011,H3
446,2012,H4
446,2014,H4
446,2015,H4
446,2016,H4
450,2001,H1
450,2002,H2
450,2003,H2
450,2004,H2
450,2005,H2
450,2006,H2
450,2007,H3
450,2008,H3
450,2009,H3
450,2010,H3
450,2011,H3
450,2012,H4
450,2013,H4
450,2014,H4
450,2015,H4
450,2016,H4
454,2001,H1
454,2002,H1
454,2003,H2
454,2004,H2
454,2005,H2
454,2006,H2
454,2007,H2
454,2008,H3
454,2009,H3
454,2010,H3
454,2011,H3
454,2012,H3
454,2013,H3
454,2014,H4
454,2015,H4
458,2001,H1
458,2002,H2
458,2003,H2
458,2004,H2
458,2005,H2
458,2006,H2
458,2007,H2
458,2008,H2
458,2009,H3
458,2010,H3
458,2011,H3
458,2012,H3
458,2013,H4
458,2014,H4
458,2015,H4
458,2016,H4
458,2017,H5
462,2001,H1
462,2002,H1
462,2003,H2
462,2004,H2
462,2005,H2
462,2006,H2
462,2007,H2
462,2008,H3
462,2009,H3
462,2010,H3
462,2011,H3
462,2012,H4
462,2013,H4
462,2014,H4
462,2015,H4
462,2016,H4
466,2001,H1
466,2002,H1
466,2003,H1
466,2004,H2
466,2005,H2
466,2006,H2
466,2007,H2
466,2008,H3
466,2010,H3
466,2011,H3
466,2012,H3
466,2016,H4
470,2001,H1
470,2002,H2
470,2003,H2
470,2004,H2
470,2005,H2
470,2006,H2
470,2007,H3
470,2008,H3
470,2009,H3
470,2010,H3
470,2011,H3
470,2012,H4
470,2013,H4
470,2014,H4
470,2015,H4
470,2016,H4
478,2001,H1
478,2002,H1
478,2003,H1
478,2004,H1
478,2005,H1
478,2006,H1
478,2007,H1
478,2008,H1
478,2009,H1
478,2010,H2
478,2011,H3
478,2012,H3
478,2013,H3
478,2014,H3
478,2016,H4
478,2017,H4
480,2001,H1
480,2002,H2
480,2003,H2
480,2004,H2
480,2005,H2
480,2006,H2
480,2007,H2
480,2008,H3
480,2009,H3
480,2010,H3
480,2011,H3
480,2012,H4
480,2013,H4
480,2014,H4
480,2015,H4
480,2016,H4
480,2017,H5
484,2001,H1
484,2002,H2
484,2003,H2
484,2004,H2
484,2005,H2
484,2006,H2
484,2007,H2
484,2008,H3
484,2009,H3
484,2010,H3
484,2011,H3
484,2012,H4
484,2013,H4
484,2014,H4
484,2015,H4
484,2016,H4
484,2017,H4
490,2001,H1
490,2002,H1
490,2003,H1
490,2004,H2
490,2005,H2
490,2006,H2
490,2007,H2
490,2008,H2
490,2009,H3
490,2010,H3
490,2011,H3
490,2012,H3
490,2013,H4
490,2014,H4
490,2015,H4
490,2016,H4
496,2001,H1
496,2002,H2
496,2003,H2
496,2004,H2
496,2005,H2
496,2006,H2
496,2007,H3
496,2013,H4
496,2014,H4
496,2015,H4
496,2016,H4
498,2001,H1
498,2002,H1
498,2003,H1
498,2004,H2
498,2005,H2
498,2006,H2
498,2007,H2
498,2008,H2
498,2009,H3
498,2010,H3
498,2011,H3
498,2012,H3
498,2013,H3
498,2014,H3
498,2015,H4
498,2016,H4
498,2017,H4
499,2006,H2
499,2007,H2
499,2008,H3
499,2009,H3
499,2010,H3
499,2011,H3
499,2012,H4
499,2013,H4
499,2014,H4
499,2015,H4
499,2016,H4
499,2017,H5
500,2001,H0
500,2002,H0
500,2003,H0
500,2004,H2
500,2005,H2
500,2006,H2
500,2007,H2
500,2008,H2
500,2009,H2
500,2010,H2
500,2011,H3
500,2012,H3
500,2013,H3
500,2014,H3
504,2001,H0
504,2002,H2
504,2003,H2
504,2004,H2
504,2005,H2
504,2006,H2
504,2007,H2
504,2008,H2
504,2009,H2
504,2010,H2
504,2011,H2
504,2012,H2
504,2013,H2
504,2014,H2
504,2015,H4
504,2016,H4
508,2001,H1
508,2002,H2
